question,answer,category,difficulty
What is 5 + 3?,8,arithmetic_addition,easy
What is 12 - 7?,5,arithmetic_subtraction,easy
What is 6 × 4?,24,arithmetic_multiplication,easy
What is 20 ÷ 5?,4,arithmetic_division,easy
What is 15 + 8?,23,arithmetic_addition,easy
What is 30 - 12?,18,arithmetic_subtraction,easy
What is 7 × 8?,56,arithmetic_multiplication,easy
What is 36 ÷ 6?,6,arithmetic_division,easy
What is 25 + 14?,39,arithmetic_addition,easy
What is 50 - 23?,27,arithmetic_subtraction,easy
What is 9 × 5?,45,arithmetic_multiplication,easy
What is 48 ÷ 8?,6,arithmetic_division,easy
What is 33 + 27?,60,arithmetic_addition,easy
What is 64 - 19?,45,arithmetic_subtraction,easy
What is 12 × 7?,84,arithmetic_multiplication,easy
What is 72 ÷ 9?,8,arithmetic_division,easy
What is 41 + 38?,79,arithmetic_addition,easy
What is 85 - 47?,38,arithmetic_subtraction,easy
What is 11 × 6?,66,arithmetic_multiplication,easy
What is 56 ÷ 7?,8,arithmetic_division,easy
What is 17 + 19?,36,arithmetic_addition,easy
What is 92 - 56?,36,arithmetic_subtraction,easy
What is 8 × 9?,72,arithmetic_multiplication,easy
What is 63 ÷ 9?,7,arithmetic_division,easy
What is 44 + 29?,73,arithmetic_addition,easy
What is 77 - 38?,39,arithmetic_subtraction,easy
What is 5 × 12?,60,arithmetic_multiplication,easy
What is 45 ÷ 5?,9,arithmetic_division,easy
What is 28 + 36?,64,arithmetic_addition,easy
What is 91 - 44?,47,arithmetic_subtraction,easy
What is 6 × 11?,66,arithmetic_multiplication,easy
What is 88 ÷ 8?,11,arithmetic_division,easy
What is 52 + 31?,83,arithmetic_addition,easy
What is 100 - 67?,33,arithmetic_subtraction,easy
What is 9 × 7?,63,arithmetic_multiplication,easy
What is 54 ÷ 6?,9,arithmetic_division,easy
What is 13 + 48?,61,arithmetic_addition,easy
What is 73 - 29?,44,arithmetic_subtraction,easy
What is 4 × 15?,60,arithmetic_multiplication,easy
What is 40 ÷ 8?,5,arithmetic_division,easy
What is 37 + 45?,82,arithmetic_addition,easy
What is 89 - 52?,37,arithmetic_subtraction,easy
What is 7 × 11?,77,arithmetic_multiplication,easy
What is 81 ÷ 9?,9,arithmetic_division,easy
What is 26 + 58?,84,arithmetic_addition,easy
What is 95 - 61?,34,arithmetic_subtraction,easy
What is 8 × 6?,48,arithmetic_multiplication,easy
What is 42 ÷ 7?,6,arithmetic_division,easy
What is 49 + 33?,82,arithmetic_addition,easy
What is 68 - 25?,43,arithmetic_subtraction,easy
What is 3 × 18?,54,arithmetic_multiplication,easy
What is 35 ÷ 5?,7,arithmetic_division,easy
What is 55 + 22?,77,arithmetic_addition,easy
What is 87 - 39?,48,arithmetic_subtraction,easy
What is 10 × 9?,90,arithmetic_multiplication,easy
What is 60 ÷ 10?,6,arithmetic_division,easy
What is 16 + 67?,83,arithmetic_addition,easy
What is 78 - 49?,29,arithmetic_subtraction,easy
What is 5 × 14?,70,arithmetic_multiplication,easy
What is 32 ÷ 4?,8,arithmetic_division,easy
What is 43 + 39?,82,arithmetic_addition,easy
What is 96 - 58?,38,arithmetic_subtraction,easy
What is 6 × 13?,78,arithmetic_multiplication,easy
What is 49 ÷ 7?,7,arithmetic_division,easy
What is 21 + 54?,75,arithmetic_addition,easy
What is 84 - 37?,47,arithmetic_subtraction,easy
What is 9 × 8?,72,arithmetic_multiplication,easy
What is 27 ÷ 3?,9,arithmetic_division,easy
What is 38 + 46?,84,arithmetic_addition,easy
What is 71 - 28?,43,arithmetic_subtraction,easy
What is 12 × 5?,60,arithmetic_multiplication,easy
What is 64 ÷ 8?,8,arithmetic_division,easy
What is 59 + 25?,84,arithmetic_addition,easy
What is 93 - 55?,38,arithmetic_subtraction,easy
What is 7 × 9?,63,arithmetic_multiplication,easy
What is 36 ÷ 4?,9,arithmetic_division,easy
What is 14 + 72?,86,arithmetic_addition,easy
What is 82 - 46?,36,arithmetic_subtraction,easy
What is 11 × 8?,88,arithmetic_multiplication,easy
What is 99 ÷ 9?,11,arithmetic_division,easy
What is 47 + 28?,75,arithmetic_addition,easy
What is 65 - 31?,34,arithmetic_subtraction,easy
What is 4 × 19?,76,arithmetic_multiplication,easy
What is 50 ÷ 10?,5,arithmetic_division,easy
What is 62 + 18?,80,arithmetic_addition,easy
What is 90 - 42?,48,arithmetic_subtraction,easy
What is 8 × 11?,88,arithmetic_multiplication,easy
What is 44 ÷ 4?,11,arithmetic_division,easy
What is 35 + 51?,86,arithmetic_addition,easy
What is 76 - 39?,37,arithmetic_subtraction,easy
What is 6 × 15?,90,arithmetic_multiplication,easy
What is 70 ÷ 7?,10,arithmetic_division,easy
What is 24 + 63?,87,arithmetic_addition,easy
What is 88 - 51?,37,arithmetic_subtraction,easy
What is 9 × 10?,90,arithmetic_multiplication,easy
What is 55 ÷ 5?,11,arithmetic_division,easy
What is 18 + 69?,87,arithmetic_addition,easy
What is 97 - 48?,49,arithmetic_subtraction,easy
What is 5 × 16?,80,arithmetic_multiplication,easy
What is 66 ÷ 6?,11,arithmetic_division,easy
