model,metric,delta_trust,trust_lo,trust_hi,trust_sig,delta_scar,scar_lo,scar_hi,scar_sig,anchor_n,anchor_flag
Opus,Q4-share,-0.1195,-0.2164,-0.004,*,0.0036,-0.1367,0.141,,50,0
Opus,suspicion,-3.5327,-4.0564,-3.0382,*,-2.75,-3.03,-2.48,*,50,0
Sonnet,Q4-share,0.0038,-0.1358,0.1323,,0.0107,-0.1409,0.1959,,60,0
Sonnet,suspicion,-3.1,-3.8394,-2.5848,*,-3.11,-3.5401,-2.6867,*,60,0
GPT-5.1,Q4-share,0.0714,-0.0781,0.1695,,0.4031,0.1817,0.6586,*,50,0
GPT-5.1,suspicion,-2.38,-2.6605,-2.06,*,-1.62,-2.0,-1.23,*,50,0
GPT-5.4-mini,Q4-share,-0.0808,-0.1802,0.0507,,0.0539,-0.0656,0.1993,,50,0
GPT-5.4-mini,suspicion,-0.7945,-1.4636,-0.08,*,0.38,-0.51,1.26,,50,0
Gemini Pro,Q4-share,-0.0303,-0.0593,-0.0076,*,0.2451,0.1521,0.3261,*,50,0
Gemini Pro,suspicion,-2.0114,-2.2743,-1.7314,*,0.12,-0.4,0.72,,50,0
Gemini Flash,Q4-share,-0.0137,-0.0514,0.0264,,-0.0399,-0.0801,-0.0032,*,50,0
Gemini Flash,suspicion,-0.4691,-1.6273,0.4528,,-0.99,-1.88,-0.15,*,50,0
